forward 2 | Horizontal: 2, Depth: 0 (0)
down 7    | Horizontal: 2, Depth: 7 (14)
down 8    | Horizontal: 2, Depth: 15 (30)
forward 9 | Horizontal: 11, Depth: 15 (165)
down 8    | Horizontal: 11, Depth: 23 (253)
forward 9 | Horizontal: 20, Depth: 23 (460)
forward 8 | Horizontal: 28, Depth: 23 (644)
down 3    | Horizontal: 28, Depth: 26 (728)
forward 8 | Horizontal: 36, Depth: 26 (936)
forward 5 | Horizontal: 41, Depth: 26 (1066)
up 2      | Horizontal: 41, Depth: 24 (984)
down 9    | Horizontal: 41, Depth: 33 (1353)
down 4    | Horizontal: 41, Depth: 37 (1517)
forward 4 | Horizontal: 45, Depth: 37 (1665)
forward 3 | Horizontal: 48, Depth: 37 (1776)
down 8    | Horizontal: 48, Depth: 45 (2160)
down 9    | Horizontal: 48, Depth: 54 (2592)
forward 5 | Horizontal: 53, Depth: 54 (2862)
down 1    | Horizontal: 53, Depth: 55 (2915)
up 1      | Horizontal: 53, Depth: 54 (2862)
forward 4 | Horizontal: 57, Depth: 54 (3078)
up 5      | Horizontal: 57, Depth: 49 (2793)
forward 2 | Horizontal: 59, Depth: 49 (2891)
down 6    | Horizontal: 59, Depth: 55 (3245)
forward 9 | Horizontal: 68, Depth: 55 (3740)
forward 3 | Horizontal: 71, Depth: 55 (3905)
forward 7 | Horizontal: 78, Depth: 55 (4290)
down 6    | Horizontal: 78, Depth: 61 (4758)
down 1    | Horizontal: 78, Depth: 62 (4836)
forward 8 | Horizontal: 86, Depth: 62 (5332)
down 3    | Horizontal: 86, Depth: 65 (5590)
forward 1 | Horizontal: 87, Depth: 65 (5655)
up 6      | Horizontal: 87, Depth: 59 (5133)
down 1    | Horizontal: 87, Depth: 60 (5220)
down 2    | Horizontal: 87, Depth: 62 (5394)
forward 9 | Horizontal: 96, Depth: 62 (5952)
down 7    | Horizontal: 96, Depth: 69 (6624)
down 1    | Horizontal: 96, Depth: 70 (6720)
down 7    | Horizontal: 96, Depth: 77 (7392)
down 7    | Horizontal: 96, Depth: 84 (8064)
up 5      | Horizontal: 96, Depth: 79 (7584)
down 8    | Horizontal: 96, Depth: 87 (8352)
forward 6 | Horizontal: 102, Depth: 87 (8874)
up 8      | Horizontal: 102, Depth: 79 (8058)
up 2      | Horizontal: 102, Depth: 77 (7854)
forward 6 | Horizontal: 108, Depth: 77 (8316)
up 1      | Horizontal: 108, Depth: 76 (8208)
down 9    | Horizontal: 108, Depth: 85 (9180)
forward 8 | Horizontal: 116, Depth: 85 (9860)
forward 4 | Horizontal: 120, Depth: 85 (10200)
up 3      | Horizontal: 120, Depth: 82 (9840)
forward 7 | Horizontal: 127, Depth: 82 (10414)
down 2    | Horizontal: 127, Depth: 84 (10668)
down 8    | Horizontal: 127, Depth: 92 (11684)
forward 5 | Horizontal: 132, Depth: 92 (12144)
down 9    | Horizontal: 132, Depth: 101 (13332)
up 4      | Horizontal: 132, Depth: 97 (12804)
forward 7 | Horizontal: 139, Depth: 97 (13483)
forward 5 | Horizontal: 144, Depth: 97 (13968)
down 5    | Horizontal: 144, Depth: 102 (14688)
down 5    | Horizontal: 144, Depth: 107 (15408)
forward 3 | Horizontal: 147, Depth: 107 (15729)
forward 2 | Horizontal: 149, Depth: 107 (15943)
down 2    | Horizontal: 149, Depth: 109 (16241)
up 4      | Horizontal: 149, Depth: 105 (15645)
up 7      | Horizontal: 149, Depth: 98 (14602)
down 8    | Horizontal: 149, Depth: 106 (15794)
up 8      | Horizontal: 149, Depth: 98 (14602)
forward 1 | Horizontal: 150, Depth: 98 (14700)
up 4      | Horizontal: 150, Depth: 94 (14100)
forward 4 | Horizontal: 154, Depth: 94 (14476)
down 2    | Horizontal: 154, Depth: 96 (14784)
forward 5 | Horizontal: 159, Depth: 96 (15264)
forward 7 | Horizontal: 166, Depth: 96 (15936)
down 4    | Horizontal: 166, Depth: 100 (16600)
forward 8 | Horizontal: 174, Depth: 100 (17400)
down 2    | Horizontal: 174, Depth: 102 (17748)
forward 5 | Horizontal: 179, Depth: 102 (18258)
forward 9 | Horizontal: 188, Depth: 102 (19176)
forward 6 | Horizontal: 194, Depth: 102 (19788)
forward 5 | Horizontal: 199, Depth: 102 (20298)
down 5    | Horizontal: 199, Depth: 107 (21293)
forward 4 | Horizontal: 203, Depth: 107 (21721)
forward 3 | Horizontal: 206, Depth: 107 (22042)
down 7    | Horizontal: 206, Depth: 114 (23484)
down 8    | Horizontal: 206, Depth: 122 (25132)
forward 9 | Horizontal: 215, Depth: 122 (26230)
forward 7 | Horizontal: 222, Depth: 122 (27084)
down 3    | Horizontal: 222, Depth: 125 (27750)
down 6    | Horizontal: 222, Depth: 131 (29082)
forward 4 | Horizontal: 226, Depth: 131 (29606)
down 7    | Horizontal: 226, Depth: 138 (31188)
up 9      | Horizontal: 226, Depth: 129 (29154)
down 8    | Horizontal: 226, Depth: 137 (30962)
up 7      | Horizontal: 226, Depth: 130 (29380)
up 3      | Horizontal: 226, Depth: 127 (28702)
forward 6 | Horizontal: 232, Depth: 127 (29464)
forward 9 | Horizontal: 241, Depth: 127 (30607)
down 2    | Horizontal: 241, Depth: 129 (31089)
down 3    | Horizontal: 241, Depth: 132 (31812)
down 1    | Horizontal: 241, Depth: 133 (32053)
