forward 2 | Horizontal: 2, Depth: 0, Aim: 0 (0)
down 7    | Horizontal: 2, Depth: 0, Aim: 7 (0)
down 8    | Horizontal: 2, Depth: 0, Aim: 15 (0)
forward 9 | Horizontal: 11, Depth: 135, Aim: 15 (1485)
down 8    | Horizontal: 11, Depth: 135, Aim: 23 (1485)
forward 9 | Horizontal: 20, Depth: 342, Aim: 23 (6840)
forward 8 | Horizontal: 28, Depth: 526, Aim: 23 (14728)
down 3    | Horizontal: 28, Depth: 526, Aim: 26 (14728)
forward 8 | Horizontal: 36, Depth: 734, Aim: 26 (26424)
forward 5 | Horizontal: 41, Depth: 864, Aim: 26 (35424)
up 2      | Horizontal: 41, Depth: 864, Aim: 24 (35424)
down 9    | Horizontal: 41, Depth: 864, Aim: 33 (35424)
down 4    | Horizontal: 41, Depth: 864, Aim: 37 (35424)
forward 4 | Horizontal: 45, Depth: 1012, Aim: 37 (45540)
forward 3 | Horizontal: 48, Depth: 1123, Aim: 37 (53904)
down 8    | Horizontal: 48, Depth: 1123, Aim: 45 (53904)
down 9    | Horizontal: 48, Depth: 1123, Aim: 54 (53904)
forward 5 | Horizontal: 53, Depth: 1393, Aim: 54 (73829)
down 1    | Horizontal: 53, Depth: 1393, Aim: 55 (73829)
up 1      | Horizontal: 53, Depth: 1393, Aim: 54 (73829)
forward 4 | Horizontal: 57, Depth: 1609, Aim: 54 (91713)
up 5      | Horizontal: 57, Depth: 1609, Aim: 49 (91713)
forward 2 | Horizontal: 59, Depth: 1707, Aim: 49 (100713)
down 6    | Horizontal: 59, Depth: 1707, Aim: 55 (100713)
forward 9 | Horizontal: 68, Depth: 2202, Aim: 55 (149736)
forward 3 | Horizontal: 71, Depth: 2367, Aim: 55 (168057)
forward 7 | Horizontal: 78, Depth: 2752, Aim: 55 (214656)
down 6    | Horizontal: 78, Depth: 2752, Aim: 61 (214656)
down 1    | Horizontal: 78, Depth: 2752, Aim: 62 (214656)
forward 8 | Horizontal: 86, Depth: 3248, Aim: 62 (279328)
down 3    | Horizontal: 86, Depth: 3248, Aim: 65 (279328)
forward 1 | Horizontal: 87, Depth: 3313, Aim: 65 (288231)
up 6      | Horizontal: 87, Depth: 3313, Aim: 59 (288231)
down 1    | Horizontal: 87, Depth: 3313, Aim: 60 (288231)
down 2    | Horizontal: 87, Depth: 3313, Aim: 62 (288231)
forward 9 | Horizontal: 96, Depth: 3871, Aim: 62 (371616)
down 7    | Horizontal: 96, Depth: 3871, Aim: 69 (371616)
down 1    | Horizontal: 96, Depth: 3871, Aim: 70 (371616)
down 7    | Horizontal: 96, Depth: 3871, Aim: 77 (371616)
down 7    | Horizontal: 96, Depth: 3871, Aim: 84 (371616)
up 5      | Horizontal: 96, Depth: 3871, Aim: 79 (371616)
down 8    | Horizontal: 96, Depth: 3871, Aim: 87 (371616)
forward 6 | Horizontal: 102, Depth: 4393, Aim: 87 (448086)
up 8      | Horizontal: 102, Depth: 4393, Aim: 79 (448086)
up 2      | Horizontal: 102, Depth: 4393, Aim: 77 (448086)
forward 6 | Horizontal: 108, Depth: 4855, Aim: 77 (524340)
up 1      | Horizontal: 108, Depth: 4855, Aim: 76 (524340)
down 9    | Horizontal: 108, Depth: 4855, Aim: 85 (524340)
forward 8 | Horizontal: 116, Depth: 5535, Aim: 85 (642060)
forward 4 | Horizontal: 120, Depth: 5875, Aim: 85 (705000)
up 3      | Horizontal: 120, Depth: 5875, Aim: 82 (705000)
forward 7 | Horizontal: 127, Depth: 6449, Aim: 82 (819023)
down 2    | Horizontal: 127, Depth: 6449, Aim: 84 (819023)
down 8    | Horizontal: 127, Depth: 6449, Aim: 92 (819023)
forward 5 | Horizontal: 132, Depth: 6909, Aim: 92 (911988)
down 9    | Horizontal: 132, Depth: 6909, Aim: 101 (911988)
up 4      | Horizontal: 132, Depth: 6909, Aim: 97 (911988)
forward 7 | Horizontal: 139, Depth: 7588, Aim: 97 (1054732)
forward 5 | Horizontal: 144, Depth: 8073, Aim: 97 (1162512)
down 5    | Horizontal: 144, Depth: 8073, Aim: 102 (1162512)
down 5    | Horizontal: 144, Depth: 8073, Aim: 107 (1162512)
forward 3 | Horizontal: 147, Depth: 8394, Aim: 107 (1233918)
forward 2 | Horizontal: 149, Depth: 8608, Aim: 107 (1282592)
down 2    | Horizontal: 149, Depth: 8608, Aim: 109 (1282592)
up 4      | Horizontal: 149, Depth: 8608, Aim: 105 (1282592)
up 7      | Horizontal: 149, Depth: 8608, Aim: 98 (1282592)
down 8    | Horizontal: 149, Depth: 8608, Aim: 106 (1282592)
up 8      | Horizontal: 149, Depth: 8608, Aim: 98 (1282592)
forward 1 | Horizontal: 150, Depth: 8706, Aim: 98 (1305900)
up 4      | Horizontal: 150, Depth: 8706, Aim: 94 (1305900)
forward 4 | Horizontal: 154, Depth: 9082, Aim: 94 (1398628)
down 2    | Horizontal: 154, Depth: 9082, Aim: 96 (1398628)
forward 5 | Horizontal: 159, Depth: 9562, Aim: 96 (1520358)
forward 7 | Horizontal: 166, Depth: 10234, Aim: 96 (1698844)
down 4    | Horizontal: 166, Depth: 10234, Aim: 100 (1698844)
forward 8 | Horizontal: 174, Depth: 11034, Aim: 100 (1919916)
down 2    | Horizontal: 174, Depth: 11034, Aim: 102 (1919916)
forward 5 | Horizontal: 179, Depth: 11544, Aim: 102 (2066376)
forward 9 | Horizontal: 188, Depth: 12462, Aim: 102 (2342856)
forward 6 | Horizontal: 194, Depth: 13074, Aim: 102 (2536356)
forward 5 | Horizontal: 199, Depth: 13584, Aim: 102 (2703216)
down 5    | Horizontal: 199, Depth: 13584, Aim: 107 (2703216)
forward 4 | Horizontal: 203, Depth: 14012, Aim: 107 (2844436)
forward 3 | Horizontal: 206, Depth: 14333, Aim: 107 (2952598)
down 7    | Horizontal: 206, Depth: 14333, Aim: 114 (2952598)
down 8    | Horizontal: 206, Depth: 14333, Aim: 122 (2952598)
forward 9 | Horizontal: 215, Depth: 15431, Aim: 122 (3317665)
forward 7 | Horizontal: 222, Depth: 16285, Aim: 122 (3615270)
down 3    | Horizontal: 222, Depth: 16285, Aim: 125 (3615270)
down 6    | Horizontal: 222, Depth: 16285, Aim: 131 (3615270)
forward 4 | Horizontal: 226, Depth: 16809, Aim: 131 (3798834)
down 7    | Horizontal: 226, Depth: 16809, Aim: 138 (3798834)
up 9      | Horizontal: 226, Depth: 16809, Aim: 129 (3798834)
down 8    | Horizontal: 226, Depth: 16809, Aim: 137 (3798834)
up 7      | Horizontal: 226, Depth: 16809, Aim: 130 (3798834)
up 3      | Horizontal: 226, Depth: 16809, Aim: 127 (3798834)
forward 6 | Horizontal: 232, Depth: 17571, Aim: 127 (4076472)
forward 9 | Horizontal: 241, Depth: 18714, Aim: 127 (4510074)
down 2    | Horizontal: 241, Depth: 18714, Aim: 129 (4510074)
down 3    | Horizontal: 241, Depth: 18714, Aim: 132 (4510074)
down 1    | Horizontal: 241, Depth: 18714, Aim: 133 (4510074)
down 3    | Horizontal: 241, Depth: 18714, Aim: 136 (4510074)
forward 8 | Horizontal: 249, Depth: 19802, Aim: 136 (4930698)
forward 3 | Horizontal: 252, Depth: 20210, Aim: 136 (5092920)
forward 9 | Horizontal: 261, Depth: 21434, Aim: 136 (5594274)
down 5    | Horizontal: 261, Depth: 21434, Aim: 141 (5594274)
up 1      | Horizontal: 261, Depth: 21434, Aim: 140 (5594274)
up 2      | Horizontal: 261, Depth: 21434, Aim: 138 (5594274)
down 9    | Horizontal: 261, Depth: 21434, Aim: 147 (5594274)
up 9      | Horizontal: 261, Depth: 21434, Aim: 138 (5594274)
down 5    | Horizontal: 261, Depth: 21434, Aim: 143 (5594274)
down 9    | Horizontal: 261, Depth: 21434, Aim: 152 (5594274)
forward 1 | Horizontal: 262, Depth: 21586, Aim: 152 (5655532)
down 3    | Horizontal: 262, Depth: 21586, Aim: 155 (5655532)
down 5    | Horizontal: 262, Depth: 21586, Aim: 160 (5655532)
down 1    | Horizontal: 262, Depth: 21586, Aim: 161 (5655532)
forward 7 | Horizontal: 269, Depth: 22713, Aim: 161 (6109797)
down 6    | Horizontal: 269, Depth: 22713, Aim: 167 (6109797)
forward 7 | Horizontal: 276, Depth: 23882, Aim: 167 (6591432)
forward 4 | Horizontal: 280, Depth: 24550, Aim: 167 (6874000)
up 2      | Horizontal: 280, Depth: 24550, Aim: 165 (6874000)
up 1      | Horizontal: 280, Depth: 24550, Aim: 164 (6874000)
forward 9 | Horizontal: 289, Depth: 26026, Aim: 164 (7521514)
down 2    | Horizontal: 289, Depth: 26026, Aim: 166 (7521514)
down 6    | Horizontal: 289, Depth: 26026, Aim: 172 (7521514)
down 5    | Horizontal: 289, Depth: 26026, Aim: 177 (7521514)
down 6    | Horizontal: 289, Depth: 26026, Aim: 183 (7521514)
forward 8 | Horizontal: 297, Depth: 27490, Aim: 183 (8164530)
down 5    | Horizontal: 297, Depth: 27490, Aim: 188 (8164530)
forward 1 | Horizontal: 298, Depth: 27678, Aim: 188 (8248044)
forward 2 | Horizontal: 300, Depth: 28054, Aim: 188 (8416200)
down 7    | Horizontal: 300, Depth: 28054, Aim: 195 (8416200)
down 5    | Horizontal: 300, Depth: 28054, Aim: 200 (8416200)
down 7    | Horizontal: 300, Depth: 28054, Aim: 207 (8416200)
up 9      | Horizontal: 300, Depth: 28054, Aim: 198 (8416200)
down 9    | Horizontal: 300, Depth: 28054, Aim: 207 (8416200)
up 4      | Horizontal: 300, Depth: 28054, Aim: 203 (8416200)
down 7    | Horizontal: 300, Depth: 28054, Aim: 210 (8416200)
up 8      | Horizontal: 300, Depth: 28054, Aim: 202 (8416200)
down 9    | Horizontal: 300, Depth: 28054, Aim: 211 (8416200)
forward 3 | Horizontal: 303, Depth: 28687, Aim: 211 (8692161)
down 6    | Horizontal: 303, Depth: 28687, Aim: 217 (8692161)
down 2    | Horizontal: 303, Depth: 28687, Aim: 219 (8692161)
forward 9 | Horizontal: 312, Depth: 30658, Aim: 219 (9565296)
down 4    | Horizontal: 312, Depth: 30658, Aim: 223 (9565296)
up 7      | Horizontal: 312, Depth: 30658, Aim: 216 (9565296)
forward 3 | Horizontal: 315, Depth: 31306, Aim: 216 (9861390)
down 5    | Horizontal: 315, Depth: 31306, Aim: 221 (9861390)
forward 8 | Horizontal: 323, Depth: 33074, Aim: 221 (10682902)
forward 9 | Horizontal: 332, Depth: 35063, Aim: 221 (11640916)
down 2    | Horizontal: 332, Depth: 35063, Aim: 223 (11640916)
up 5      | Horizontal: 332, Depth: 35063, Aim: 218 (11640916)
forward 2 | Horizontal: 334, Depth: 35499, Aim: 218 (11856666)
forward 9 | Horizontal: 343, Depth: 37461, Aim: 218 (12849123)
up 5      | Horizontal: 343, Depth: 37461, Aim: 213 (12849123)
down 2    | Horizontal: 343, Depth: 37461, Aim: 215 (12849123)
forward 8 | Horizontal: 351, Depth: 39181, Aim: 215 (13752531)
forward 6 | Horizontal: 357, Depth: 40471, Aim: 215 (14448147)
down 7    | Horizontal: 357, Depth: 40471, Aim: 222 (14448147)
down 3    | Horizontal: 357, Depth: 40471, Aim: 225 (14448147)
forward 4 | Horizontal: 361, Depth: 41371, Aim: 225 (14934931)
forward 3 | Horizontal: 364, Depth: 42046, Aim: 225 (15304744)
forward 9 | Horizontal: 373, Depth: 44071, Aim: 225 (16438483)
up 4      | Horizontal: 373, Depth: 44071, Aim: 221 (16438483)
up 4      | Horizontal: 373, Depth: 44071, Aim: 217 (16438483)
forward 7 | Horizontal: 380, Depth: 45590, Aim: 217 (17324200)
up 3      | Horizontal: 380, Depth: 45590, Aim: 214 (17324200)
forward 6 | Horizontal: 386, Depth: 46874, Aim: 214 (18093364)
down 7    | Horizontal: 386, Depth: 46874, Aim: 221 (18093364)
up 8      | Horizontal: 386, Depth: 46874, Aim: 213 (18093364)
forward 2 | Horizontal: 388, Depth: 47300, Aim: 213 (18352400)
up 1      | Horizontal: 388, Depth: 47300, Aim: 212 (18352400)
down 6    | Horizontal: 388, Depth: 47300, Aim: 218 (18352400)
forward 4 | Horizontal: 392, Depth: 48172, Aim: 218 (18883424)
up 6      | Horizontal: 392, Depth: 48172, Aim: 212 (18883424)
up 6      | Horizontal: 392, Depth: 48172, Aim: 206 (18883424)
up 3      | Horizontal: 392, Depth: 48172, Aim: 203 (18883424)
forward 4 | Horizontal: 396, Depth: 48984, Aim: 203 (19397664)
forward 2 | Horizontal: 398, Depth: 49390, Aim: 203 (19657220)
forward 5 | Horizontal: 403, Depth: 50405, Aim: 203 (20313215)
forward 8 | Horizontal: 411, Depth: 52029, Aim: 203 (21383919)
down 9    | Horizontal: 411, Depth: 52029, Aim: 212 (21383919)
down 4    | Horizontal: 411, Depth: 52029, Aim: 216 (21383919)
down 3    | Horizontal: 411, Depth: 52029, Aim: 219 (21383919)
down 1    | Horizontal: 411, Depth: 52029, Aim: 220 (21383919)
down 6    | Horizontal: 411, Depth: 52029, Aim: 226 (21383919)
down 4    | Horizontal: 411, Depth: 52029, Aim: 230 (21383919)
down 5    | Horizontal: 411, Depth: 52029, Aim: 235 (21383919)
down 7    | Horizontal: 411, Depth: 52029, Aim: 242 (21383919)
down 5    | Horizontal: 411, Depth: 52029, Aim: 247 (21383919)
up 4      | Horizontal: 411, Depth: 52029, Aim: 243 (21383919)
forward 3 | Horizontal: 414, Depth: 52758, Aim: 243 (21841812)
down 4    | Horizontal: 414, Depth: 52758, Aim: 247 (21841812)
down 7    | Horizontal: 414, Depth: 52758, Aim: 254 (21841812)
down 7    | Horizontal: 414, Depth: 52758, Aim: 261 (21841812)
down 2    | Horizontal: 414, Depth: 52758, Aim: 263 (21841812)
forward 2 | Horizontal: 416, Depth: 53284, Aim: 263 (22166144)
forward 9 | Horizontal: 425, Depth: 55651, Aim: 263 (23651675)
up 6      | Horizontal: 425, Depth: 55651, Aim: 257 (23651675)
down 3    | Horizontal: 425, Depth: 55651, Aim: 260 (23651675)
up 9      | Horizontal: 425, Depth: 55651, Aim: 251 (23651675)
forward 8 | Horizontal: 433, Depth: 57659, Aim: 251 (24966347)
